Region,Year,NNDD
Central Asia,2009,0
Central America & the Caribbean,2009,30590
East Asia,2009,4078000
Eastern Europe,2009,0
North Africa,2009,2500
North America,2009,376300
Northern Europe,2009,0
Southern Europe,2009,75480
Eastern Europe,2009,0
Western Europe,2009,0
Sub-Saharan Africa,2009,1118600
Western Asia,2009,58200
Southeast Asia,2009,3277500
South Asia,2009,7111000
South America,2009,579430
Oceania,2009,26800
Central Asia,2010,7000
Central America & the Caribbean,2010,1821100
East Asia,2010,16033000
Eastern Europe,2010,53000
North Africa,2010,15000
North America,2010,900000
Northern Europe,2010,0
Southern Europe,2010,5900
Eastern Europe,2010,53000
Western Europe,2010,4500
Sub-Saharan Africa,2010,1692350
Western Asia,2010,108200
Southeast Asia,2010,3056000
South Asia,2010,13181000
South America,2010,5442500
Oceania,2010,31300
Central Asia,2011,9000
Central America & the Caribbean,2011,130696
East Asia,2011,5412500
Eastern Europe,2011,3500
North Africa,2011,0
North America,2011,599000
Northern Europe,2011,0
Southern Europe,2011,15000
Eastern Europe,2011,3500
Western Europe,2011,0
Sub-Saharan Africa,2011,603100
Western Asia,2011,257000
Southeast Asia,2011,4682400
South Asia,2011,2954000
South America,2011,336700
Oceania,2011,12700
Central Asia,2012,11500
Central America & the Caribbean,2012,552400
East Asia,2012,6277000
Eastern Europe,2012,34100
North Africa,2012,580
North America,2012,907500
Northern Europe,2012,0
Southern Europe,2012,39800
Eastern Europe,2012,34100
Western Europe,2012,300
Sub-Saharan Africa,2012,5940720
Western Asia,2012,117200
Southeast Asia,2012,4077400
South Asia,2012,11747600
South America,2012,314100
Oceania,2012,128400
Central Asia,2013,990
Central America & the Caribbean,2013,23082
East Asia,2013,6671200
Eastern Europe,2013,30900
North Africa,2013,3346
North America,2013,466000
Northern Europe,2013,30
Southern Europe,2013,9600
Eastern Europe,2013,30900
Western Europe,2013,106713
Sub-Saharan Africa,2013,1595698
Western Asia,2013,55770
Southeast Asia,2013,8923200
South Asia,2013,4048000
South America,2013,173000
Oceania,2013,18342
Central Asia,2014,460
Central America & the Caribbean,2014,65342
East Asia,2014,4328400
Eastern Europe,2014,27790
North Africa,2014,6200
North America,2014,57800
Northern Europe,2014,1680
Southern Europe,2014,155624
Eastern Europe,2014,27790
Western Europe,2014,4720
Sub-Saharan Africa,2014,652057
Western Asia,2014,30300
Southeast Asia,2014,7316141
South Asia,2014,4968000
South America,2014,1467420
Oceania,2014,38936
Central Asia,2015,35900
Central America & the Caribbean,2015,44460
East Asia,2015,4121810
Eastern Europe,2015,7580
North Africa,2015,19120
North America,2015,167000
Northern Europe,2015,320
Southern Europe,2015,11200
Eastern Europe,2015,7580
Western Europe,2015,8180
Sub-Saharan Africa,2015,1108287
Western Asia,2015,195310
Southeast Asia,2015,4095050
South Asia,2015,7879900
South America,2015,1407900
Oceania,2015,87810
Central Asia,2016,3439
Central America & the Caribbean,2016,1350080
East Asia,2016,8457720
Eastern Europe,2016,5254
North Africa,2016,2000
North America,2016,1212000
Northern Europe,2016,260
Southern Europe,2016,43949
Eastern Europe,2016,5254
Western Europe,2016,3640
Sub-Saharan Africa,2016,1075470
Western Asia,2016,129328
Southeast Asia,2016,7883070
South Asia,2016,3558690
South America,2016,401830
Oceania,2016,86969
Central Asia,2017,15100
Central America & the Caribbean,2017,2055982
East Asia,2017,4521600
Eastern Europe,2017,6018
North Africa,2017,990
North America,2017,1966000
Northern Europe,2017,348
Southern Europe,2017,15574
Eastern Europe,2017,6018
Western Europe,2017,27642
Sub-Saharan Africa,2017,2559842
Western Asia,2017,259720
Southeast Asia,2017,4025284
South Asia,2017,2812876
South America,2017,455000
Oceania,2017,55320
Central Asia,2018,10500
Central America & the Caribbean,2018,151074
East Asia,2018,4024100
Eastern Europe,2018,5120
North Africa,2018,3319
North America,2018,1290600
Northern Europe,2018,375
Southern Europe,2018,14326
Eastern Europe,2018,5120
Western Europe,2018,7050
Sub-Saharan Africa,2018,2617596
Western Asia,2018,638436
Southeast Asia,2018,5194600
South Asia,2018,2867120
South America,2018,249170
Oceania,2018,107568
Central Asia,2019,4800
Central America & the Caribbean,2019,50971
East Asia,2019,4325093
Eastern Europe,2019,12588
North Africa,2019,8032
North America,2019,973000
Northern Europe,2019,667
Southern Europe,2019,63410
Eastern Europe,2019,12588
Western Europe,2019,19360
Sub-Saharan Africa,2019,3416050
Western Asia,2019,729808
Southeast Asia,2019,5213000
South Asia,2019,9412300
South America,2019,521320
Oceania,2019,64011
Worldwide,2009,16734400
Worldwide,2010,42350850
Worldwide,2011,15015596
Worldwide,2012,30148600
Worldwide,2013,22125871
Worldwide,2014,19120870
Worldwide,2015,19189827
Worldwide,2016,24213699
Worldwide,2017,18777296
Worldwide,2018,17180954
Worldwide,2019,24814410
